area_id,stop_id
area_Z3,90410
area_Z3,90411
area_Z3,90412
area_Z3,90413
area_Z3,90414
area_Z3,90415
area_Z3,90416
area_Z3,90417
area_Z3,90507
area_Z3,90508
area_Z3,90509
area_Z3,90510
area_Z3,90511
area_Z3,90512
area_Z3,90513
area_Z3,90514
area_Z3,90515
area_Z3,90516
area_Z3,90523
area_Z3,90524
area_Z3,90525
area_Z3,90526
area_Z3,90527
area_Z3,90528
area_Z3,90704
area_Z3,90705
area_Z3,90706
area_Z3,90707
area_Z4,90201
area_Z4,90202
area_Z4,90203
area_Z4,90204
area_Z4,90324
area_Z4,90325
area_Z4,90326
area_Z4,90401
area_Z4,90402
area_Z4,90403
area_Z4,90404
area_Z4,90501
area_Z4,90502
area_Z4,90503
area_Z4,90504
area_Z4,90505
area_Z4,90506
area_Z4,90529
area_Z4,90530
area_Z4,90531
area_Z4,90532
area_Z4,90533
area_Z4,90534
area_Z4,90535
area_Z4,90536
area_Z4,90537
area_Z4,90538
area_Z4,90539
area_Z4,90702
area_Z4,90703
area_NJ,90327
area_NJ,90701
